GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
1847.7591,192401,225,24,2018-04-06 00:00:00,417.7578
16.5107,193201,225,1,2018-04-06 00:00:00,7.4623
3345.0247,194101,225,52,2018-04-06 00:00:00,427.9784
2827.2909,194201,225,38,2018-04-06 00:00:00,340.0143
129.9664,195101,225,2,2018-04-06 00:00:00,15.6239
119.7822,195201,225,1,2018-04-06 00:00:00,11.4617
6794.782,196101,225,71,2018-04-06 00:00:00,1137.6981
3023.8604,196201,225,28,2018-04-06 00:00:00,443.4668
2853.3716,197101,225,20,2018-04-06 00:00:00,221.4351
6299.1434,197102,225,41,2018-04-06 00:00:00,636.259
5820.7764,197201,225,33,2018-04-06 00:00:00,649.861
4273.9881,197202,225,26,2018-04-06 00:00:00,423.8286
2009.3393,198301,225,18,2018-04-06 00:00:00,214.7225
667.6229,198401,225,6,2018-04-06 00:00:00,128.4305
248.1521,201102,225,1,2018-04-06 00:00:00,41.8595
500.3778,201202,225,7,2018-04-06 00:00:00,52.7189
2534.8257,202101,225,16,2018-04-06 00:00:00,270.4472
17688.0103,202102,225,86,2018-04-06 00:00:00,2994.381
21855.9965,202103,225,147,2018-04-06 00:00:00,11032.2267
723.2128,202203,225,4,2018-04-06 00:00:00,91.5921
5303.3153,202204,225,27,2018-04-06 00:00:00,655.9384
3822.6708,202205,225,20,2018-04-06 00:00:00,374.6881
2456.0538,203101,225,9,2018-04-06 00:00:00,261.2196
1295.412,203201,225,10,2018-04-06 00:00:00,83.7296
337.3667,204101,225,3,2018-04-06 00:00:00,41.8814
121.2349,204102,225,5,2018-04-06 00:00:00,55.2473
447.4966,204103,225,4,2018-04-06 00:00:00,81.2726
66.5209,204201,225,1,2018-04-06 00:00:00,6.9252
1130.5701,204202,225,7,2018-04-06 00:00:00,195.7059
1556.8372,204203,225,19,2018-04-06 00:00:00,169.4636
8.7763,205101,225,1,2018-04-06 00:00:00,0.6479
1534.554,205103,225,12,2018-04-06 00:00:00,222.5609
1546.5334,205201,225,14,2018-04-06 00:00:00,186.693
16.5839,205202,225,2,2018-04-06 00:00:00,2.6148
365.8712,205203,225,4,2018-04-06 00:00:00,38.2104
2507.8225,206303,225,15,2018-04-06 00:00:00,356.0964
421.3385,206401,225,2,2018-04-06 00:00:00,60.0231
3438.8022,207301,225,31,2018-04-06 00:00:00,850.7124
3855.867,207302,225,33,2018-04-06 00:00:00,547.2635
1662.2995,207303,225,16,2018-04-06 00:00:00,199.0676
1683.94,207304,225,18,2018-04-06 00:00:00,129.6967
797.6058,207401,225,5,2018-04-06 00:00:00,94.3514
1120.2255,207402,225,9,2018-04-06 00:00:00,130.1405
