GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
2483.5581,148314,12,16,2018-04-06 00:00:00,137.878
3528.8595,148315,12,24,2018-04-06 00:00:00,192.9522
4805.2335,148401,12,52,2018-04-06 00:00:00,291.3872
6282.1059,148402,12,42,2018-04-06 00:00:00,363.6625
4430.161,148403,12,20,2018-04-06 00:00:00,238.5728
7162.603,148404,12,41,2018-04-06 00:00:00,385.8137
7763.5116,148405,12,58,2018-04-06 00:00:00,448.4074
12706.4944,148406,12,75,2018-04-06 00:00:00,667.2485
14013.6245,148407,12,105,2018-04-06 00:00:00,908.4654
13010.5453,148408,12,149,2018-04-06 00:00:00,1239.5209
8039.8286,148409,12,48,2018-04-06 00:00:00,716.8304
7216.3284,148410,12,65,2018-04-06 00:00:00,664.5669
4679.6455,148411,12,61,2018-04-06 00:00:00,594.1255
1063.9092,148412,12,6,2018-04-06 00:00:00,127.7354
4.519,148413,12,1,2018-04-06 00:00:00,3.524
279.5369,148415,12,2,2018-04-06 00:00:00,33.7517
890.7739,149301,12,8,2018-04-06 00:00:00,161.3476
582.8726,149302,12,8,2018-04-06 00:00:00,75.5448
1098.1539,149401,12,11,2018-04-06 00:00:00,124.4007
1302.189,149402,12,14,2018-04-06 00:00:00,155.6295
494.1193,150101,12,8,2018-04-06 00:00:00,116.934
3025.5359,150103,12,33,2018-04-06 00:00:00,423.8935
442.6498,150104,12,7,2018-04-06 00:00:00,70.9857
490.0834,150201,12,8,2018-04-06 00:00:00,58.1951
16.2078,150202,12,1,2018-04-06 00:00:00,7.0864
414.8887,150203,12,4,2018-04-06 00:00:00,46.9919
477.1833,150204,12,9,2018-04-06 00:00:00,65.3007
491.7182,152101,12,7,2018-04-06 00:00:00,72.5745
174.7736,152201,12,2,2018-04-06 00:00:00,14.0005
137.3333,153101,12,3,2018-04-06 00:00:00,21.7398
347.0267,154101,12,3,2018-04-06 00:00:00,31.8085
520.6117,154102,12,4,2018-04-06 00:00:00,41.718
360.5374,155103,12,4,2018-04-06 00:00:00,29.079
907.7146,155104,12,14,2018-04-06 00:00:00,141.4785
895.9738,155201,12,13,2018-04-06 00:00:00,167.5394
945.751,155202,12,13,2018-04-06 00:00:00,103.0687
114.0487,155204,12,4,2018-04-06 00:00:00,22.7625
217.6357,161301,12,2,2018-04-06 00:00:00,24.8813
55.2573,161303,12,2,2018-04-06 00:00:00,10.122
72.1242,161403,12,3,2018-04-06 00:00:00,16.4132
183.916,162301,12,4,2018-04-06 00:00:00,29.8047
43.5374,162401,12,3,2018-04-06 00:00:00,9.7008
302.5441,163301,12,4,2018-04-06 00:00:00,38.0239
248.3253,163401,12,2,2018-04-06 00:00:00,54.9469
