GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
4170.1573,417401,178,28,2018-04-06 00:00:00,514.2146
5917.0384,417402,178,62,2018-04-06 00:00:00,655.3566
6432.4278,417403,178,45,2018-04-06 00:00:00,595.3997
4546.026,417404,178,35,2018-04-06 00:00:00,671.4373
7733.1235,417405,178,31,2018-04-06 00:00:00,565.9099
911.6995,417406,178,11,2018-04-06 00:00:00,139.4091
3605.4417,417407,178,24,2018-04-06 00:00:00,335.6895
1992.1883,417408,178,25,2018-04-06 00:00:00,209.2761
4532.0331,417409,178,23,2018-04-06 00:00:00,270.7028
3513.1479,417410,178,28,2018-04-06 00:00:00,325.3746
12776.114,417411,178,79,2018-04-06 00:00:00,1238.4028
8106.252,417412,178,36,2018-04-06 00:00:00,486.8753
8598.3928,417413,178,65,2018-04-06 00:00:00,865.9368
5708.0159,417414,178,69,2018-04-06 00:00:00,453.9098
7213.1572,417415,178,35,2018-04-06 00:00:00,563.6654
1491.4367,417416,178,16,2018-04-06 00:00:00,101.6511
6052.2327,418101,178,105,2018-04-06 00:00:00,825.6966
3777.4133,418102,178,56,2018-04-06 00:00:00,557.178
3955.3581,418103,178,45,2018-04-06 00:00:00,369.5572
4283.0523,418104,178,46,2018-04-06 00:00:00,405.636
3912.4009,418105,178,40,2018-04-06 00:00:00,414.2478
5174.9323,418106,178,51,2018-04-06 00:00:00,502.1781
17256.3611,418107,178,167,2018-04-06 00:00:00,1683.1233
12426.8193,418201,178,92,2018-04-06 00:00:00,966.3941
5669.2974,418202,178,56,2018-04-06 00:00:00,464.7033
7652.045,418203,178,79,2018-04-06 00:00:00,624.1139
8331.4873,418204,178,92,2018-04-06 00:00:00,887.5537
6277.1734,418205,178,68,2018-04-06 00:00:00,682.1047
3022.8531,418206,178,44,2018-04-06 00:00:00,466.6446
5564.3921,418207,178,87,2018-04-06 00:00:00,848.723
64.1005,419101,178,1,2018-04-06 00:00:00,15.4897
4557.0527,414404,178,30,2018-04-06 00:00:00,512.7068
4652.0827,414405,178,44,2018-04-06 00:00:00,448.7179
4807.4664,414406,178,62,2018-04-06 00:00:00,499.4147
3376.4966,414407,178,44,2018-04-06 00:00:00,478.1639
6060.0596,415101,178,55,2018-04-06 00:00:00,890.8506
3053.9328,415102,178,58,2018-04-06 00:00:00,822.8967
1797.1048,415103,178,31,2018-04-06 00:00:00,290.8317
4342.7399,415104,178,35,2018-04-06 00:00:00,625.5125
4190.6894,415105,178,25,2018-04-06 00:00:00,578.0355
4773.6912,415106,178,27,2018-04-06 00:00:00,594.9464
8978.4348,415107,178,89,2018-04-06 00:00:00,775.1131
2741.3605,415108,178,30,2018-04-06 00:00:00,282.289
3010.4212,415109,178,38,2018-04-06 00:00:00,576.4434
2100.9366,433301,178,21,2018-04-06 00:00:00,177.4242
668.3267,433302,178,9,2018-04-06 00:00:00,66.7167
1046.542,433303,178,8,2018-04-06 00:00:00,199.8183
1309.1704,433304,178,20,2018-04-06 00:00:00,310.8467
1502.1868,433401,178,35,2018-04-06 00:00:00,246.7723
3600.0568,433402,178,25,2018-04-06 00:00:00,411.8989
539.175,433403,178,6,2018-04-06 00:00:00,72.1671
