GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
3535.2197,14201,18,28,2018-04-06 00:00:00,277.7467
4576.1498,14202,18,10,2018-04-06 00:00:00,255.6083
10038.8014,14203,18,33,2018-04-06 00:00:00,484.0212
11549.376,14204,18,39,2018-04-06 00:00:00,508.0639
16861.2383,14205,18,57,2018-04-06 00:00:00,760.9717
22320.7214,14206,18,57,2018-04-06 00:00:00,986.0849
28166.3794,14207,18,84,2018-04-06 00:00:00,1294.5985
42002.6134,14208,18,120,2018-04-06 00:00:00,1993.2537
31474.4533,15101,18,131,2018-04-06 00:00:00,1584.6151
9081.0391,15102,18,48,2018-04-06 00:00:00,431.3668
3876.6507,15103,18,8,2018-04-06 00:00:00,183.8401
3222.9138,15104,18,8,2018-04-06 00:00:00,149.8021
6560.7398,15105,18,20,2018-04-06 00:00:00,463.5426
6372.1684,15106,18,26,2018-04-06 00:00:00,300.0168
12567.4033,15107,18,33,2018-04-06 00:00:00,600.7468
8200.2022,15108,18,41,2018-04-06 00:00:00,404.7891
25571.0105,15109,18,71,2018-04-06 00:00:00,1234.9514
7743.4195,11301,18,35,2018-04-06 00:00:00,438.2225
3966.2651,11302,18,24,2018-04-06 00:00:00,193.0666
8271.0661,11303,18,23,2018-04-06 00:00:00,411.9471
44135.2983,21301,18,210,2018-04-06 00:00:00,2381.7821
18541.0482,21302,18,134,2018-04-06 00:00:00,1027.1143
1445.0704,21303,18,7,2018-04-06 00:00:00,77.3842
2066.7935,21401,18,11,2018-04-06 00:00:00,129.0418
13740.022,21402,18,93,2018-04-06 00:00:00,829.145
10550.9414,21403,18,48,2018-04-06 00:00:00,564.2129
488.8739,22301,18,7,2018-04-06 00:00:00,44.9575
563.4249,22302,18,10,2018-04-06 00:00:00,51.6391
2659.6971,22303,18,14,2018-04-06 00:00:00,279.1823
1984.6743,22401,18,9,2018-04-06 00:00:00,160.5587
1453.7574,22402,18,12,2018-04-06 00:00:00,158.1478
2681.894,22403,18,32,2018-04-06 00:00:00,349.832
1625.5908,23301,18,18,2018-04-06 00:00:00,192.7727
977.8957,23302,18,14,2018-04-06 00:00:00,79.3436
1201.5599,23401,18,17,2018-04-06 00:00:00,178.1778
