GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
5679.5969,13403,23,14,2018-04-06 00:00:00,288.0635
4866.3895,13404,23,21,2018-04-06 00:00:00,277.9864
1460.8916,13405,23,10,2018-04-06 00:00:00,74.2686
58593.4068,14101,23,159,2018-04-06 00:00:00,2665.9666
46447.5182,14102,23,133,2018-04-06 00:00:00,2135.4462
53275.9469,14103,23,123,2018-04-06 00:00:00,2486.2904
15350.8465,14104,23,62,2018-04-06 00:00:00,724.0231
11365.4002,14105,23,39,2018-04-06 00:00:00,531.2082
12074.1347,14106,23,47,2018-04-06 00:00:00,593.4377
10223.1707,15214,23,44,2018-04-06 00:00:00,520.2241
6288.283,15215,23,24,2018-04-06 00:00:00,315.7845
19794.0723,15216,23,87,2018-04-06 00:00:00,1024.3767
354.9279,16301,23,8,2018-04-06 00:00:00,106.6298
1886.8539,16401,23,25,2018-04-06 00:00:00,351.1069
1290.1209,17101,23,18,2018-04-06 00:00:00,185.8422
1351.1702,17102,23,15,2018-04-06 00:00:00,148.5921
3346.9283,17103,23,24,2018-04-06 00:00:00,301.5866
1819.9503,17104,23,8,2018-04-06 00:00:00,109.6973
890.48,17201,23,10,2018-04-06 00:00:00,121.9389
717.6023,17202,23,8,2018-04-06 00:00:00,67.0036
2203.1642,17203,23,20,2018-04-06 00:00:00,205.9629
1821.4393,17204,23,24,2018-04-06 00:00:00,189.3399
1035.229,17205,23,9,2018-04-06 00:00:00,92.448
7643.9721,18301,23,46,2018-04-06 00:00:00,441.1327
3353.6373,18401,23,19,2018-04-06 00:00:00,181.5838
614.5627,19301,23,10,2018-04-06 00:00:00,92.8693
1019.0352,19401,23,17,2018-04-06 00:00:00,95.4104
4289.0435,20101,23,53,2018-04-06 00:00:00,308.6218
4942.5105,20102,23,69,2018-04-06 00:00:00,492.0514
4170.5805,20103,23,61,2018-04-06 00:00:00,346.5363
2953.6017,20104,23,17,2018-04-06 00:00:00,187.0207
1333.3479,20201,23,11,2018-04-06 00:00:00,103.2697
4151.5038,20202,23,49,2018-04-06 00:00:00,357.6693
6582.1684,20203,23,73,2018-04-06 00:00:00,704.8062
11014.0787,11301,23,51,2018-04-06 00:00:00,545.1305
